,_id,territory,lieu_id,territory,verified,typeAccount,compte activé,compte non validé,non lié,Niveau de validation des comptes
79,5a58c0c7c1797fe45e3772e8,75,94,75,,,0,0,3,3
80,5a58c0c7c1797fe45e3772e9,75,95,75,,,0,0,3,3
81,5a58c0c7c1797fe45e3772ea,75,96,75,,,0,0,3,3
82,5a58c0c7c1797fe45e3772eb,75,97,75,,,0,0,3,3
83,5a58c0c7c1797fe45e3772ec,75,98,75,,,0,0,3,3
84,5a58c0c7c1797fe45e3772ed,75,99,75,,,0,0,3,3
85,5a58c0c7c1797fe45e3772ee,75,100,75,,,0,0,3,3
86,5a58c0c7c1797fe45e3772ef,75,101,75,,,0,0,3,3
87,5a58c0c7c1797fe45e3772f0,75,102,75,,,0,0,3,3
88,5a58c0c7c1797fe45e3772f1,75,103,75,,,0,0,3,3
89,5a58c0c7c1797fe45e3772f2,75,104,75,,,0,0,3,3
90,5a58c0c7c1797fe45e3772f4,75,106,75,,,0,0,3,3
91,5a58c0c7c1797fe45e3772f5,75,107,75,,,0,0,3,3
92,5a58c0c7c1797fe45e3772f6,75,108,75,,,0,0,3,3
93,5a58c0c7c1797fe45e3772f7,75,109,75,True,USER,1,0,0,1
94,5a58c0c7c1797fe45e3772f8,75,110,75,,,0,0,3,3
95,5a58c0c7c1797fe45e3772f9,75,111,75,True,USER,1,0,0,1
96,5a58c0c7c1797fe45e3772fa,75,112,75,True,USER,1,0,0,1
97,5a58c0c7c1797fe45e3772fc,75,114,75,False,INVITATION,0,0,0,0
98,5a58c0c7c1797fe45e3772fd,75,115,75,True,USER,1,0,0,1
99,5a58c0c7c1797fe45e3772fe,75,116,75,True,USER,1,0,0,1
100,5a58c0c7c1797fe45e3772ff,75,117,75,True,USER,1,0,0,1
101,5a58c0c7c1797fe45e377300,75,118,75,True,USER,1,0,0,1
102,5a58c0c7c1797fe45e377302,75,120,75,False,INVITATION,0,0,0,0
103,5a58c0c7c1797fe45e377303,75,121,75,True,USER,1,0,0,1
104,5a58c0c7c1797fe45e377305,75,123,75,True,USER,1,0,0,1
105,5a58c0c7c1797fe45e377306,75,124,75,False,INVITATION,0,0,0,0
106,5a58c0c7c1797fe45e377308,75,126,75,True,USER,1,0,0,1
107,5a58c0c7c1797fe45e377309,75,127,75,False,INVITATION,0,0,0,0
108,5a58c0c7c1797fe45e37730b,75,129,75,True,USER,1,0,0,1
109,5a58c0c7c1797fe45e37730c,75,130,75,False,INVITATION,0,0,0,0
110,5a58c0c7c1797fe45e37730e,75,132,75,False,INVITATION,0,0,0,0
111,5a58c0c7c1797fe45e377310,75,134,75,False,INVITATION,0,0,0,0
112,5a58c0c7c1797fe45e377312,93,136,93,True,USER,1,0,0,1
113,5a58c0c7c1797fe45e377313,93,137,93,True,USER,1,0,0,1
114,5a58c0c7c1797fe45e377314,93,138,93,False,INVITATION,0,0,0,0
115,5a58c0c7c1797fe45e377315,93,139,93,False,INVITATION,0,0,0,0
116,5a58c0c7c1797fe45e377317,75,141,75,False,INVITATION,0,0,0,0
117,5a58c0c7c1797fe45e377319,75,143,75,False,INVITATION,0,0,0,0
118,5a58c0c7c1797fe45e37731a,75,144,75,,,0,0,3,3
119,5a58c0c7c1797fe45e37731b,75,145,75,True,USER,1,0,0,1
120,5a58c0c7c1797fe45e37731c,75,146,75,True,USER,1,0,0,1
121,5a58c0c7c1797fe45e37731d,75,147,75,False,INVITATION,0,0,0,0
122,5a58c0c7c1797fe45e37731e,75,148,75,,,0,0,3,3
123,5a58c0c7c1797fe45e377320,75,150,75,False,INVITATION,0,0,0,0
124,5a58c0c7c1797fe45e377321,75,151,75,True,USER,1,0,0,1
125,5a58c0c7c1797fe45e377322,75,152,75,False,INVITATION,0,0,0,0
126,5a58c0c7c1797fe45e377323,75,153,75,False,INVITATION,0,0,0,0
127,5a58c0c7c1797fe45e377324,75,154,75,False,INVITATION,0,0,0,0
128,5a58c0c7c1797fe45e377325,75,155,75,False,INVITATION,0,0,0,0
129,5a58c0c7c1797fe45e377326,75,156,75,False,INVITATION,0,0,0,0
130,5a58c0c7c1797fe45e377328,75,158,75,False,INVITATION,0,0,0,0
131,5a58c0c7c1797fe45e37732a,75,160,75,True,USER,1,0,0,1
132,5a58c0c7c1797fe45e37732c,75,162,75,False,INVITATION,0,0,0,0
133,5a58c0c7c1797fe45e37732e,75,164,75,False,INVITATION,0,0,0,0
134,5a58c0c7c1797fe45e37732f,75,165,75,False,INVITATION,0,0,0,0
135,5a58c0c7c1797fe45e377330,75,166,75,False,INVITATION,0,0,0,0
136,5a58c0c7c1797fe45e377331,75,167,75,False,INVITATION,0,0,0,0
137,5a58c0c7c1797fe45e377332,75,168,75,False,INVITATION,0,0,0,0
138,5a58c0c7c1797fe45e377333,75,169,75,False,INVITATION,0,0,0,0
139,5a58c0c7c1797fe45e377335,75,171,75,False,INVITATION,0,0,0,0
