,index,_id,lieu_id,user,section,created_at,updatedAt,__v,new,old,userDatas,automation,noChanges,isCampaign,orgaId,orgaName,role,status,territoire
1532,47897,60d47a8cdadd8735a7749526,9745,60bf36a6dcc0491fd973ce31,tempMessage,2021-06-24,2021-06-24 12:29:00.881,0,"{'actif': True, 'dateDebut': datetime.datetime(2021, 7, 5, 0, 0), 'dateFin': datetime.datetime(2021, 8, 31, 0, 0), 'description': ""<p>Appelez pour prendre rendez-vous car tous les médecins ne sont pas présents tout l'été</p>"", 'name': 'Congé temporaire de certains médecins'}","{'actif': False, 'dateDebut': datetime.datetime(2020, 12, 19, 0, 0), 'dateFin': datetime.datetime(2021, 1, 4, 22, 0), 'description': ""Cette structure est susceptible de fermer pendant les vacances d'hiver. Appelez avant de vous y rendre ou d'orienter quelqu'un"", 'name': ""Vacances d'hiver""}","{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,False,True,,,,ADMIN_SOLIGUIDE,92
1533,47898,60d47a90dadd8735a7749528,4710,6087c7a594cb591db1e63c97,tempMessage,2021-06-24,2021-06-24 12:29:04.720,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,33
1534,47899,60d47a91dadd8735a7749529,6582,60bf2464dcc0491fd973ccad,place,2021-06-24,2021-06-24 12:29:05.355,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1535,47905,60d47af2dadd8735a7749534,9749,60bf36a6dcc0491fd973ce31,tempMessage,2021-06-24,2021-06-24 12:30:42.509,0,"{'actif': True, 'dateDebut': datetime.datetime(2021, 8, 2, 0, 0), 'dateFin': datetime.datetime(2021, 8, 30, 0, 0), 'description': ""<p>Fermeture les samedis.<br>Horaires d'ouverture du 2 au 30 août : lundi au vendredi de 9h-12h et 14h-18h30</p>"", 'name': ""Horaires d'été""}","{'actif': False, 'dateDebut': None, 'dateFin': None, 'description': ""Fermeture le samedi.<br>Horaires d'ouverture du 3 au 29 août : lundi au vendredi de 9h-12h et 14h-18h30"", 'name': ""Horaires d'été""}","{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,False,True,,,,ADMIN_SOLIGUIDE,92
1536,47906,60d47b07dadd8735a7749539,5485,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 12:31:03.997,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1537,47907,60d47b31dadd8735a774953f,5491,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 12:31:45.707,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1538,47909,60d47b72dadd8735a774954e,5503,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 12:32:50.477,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1539,47910,60d47b97dadd8735a7749557,5501,60bf244ddcc0491fd973cca8,place,2021-06-24,2021-06-24 12:33:27.219,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,44
1540,47920,60d47c2adadd8735a7749572,5653,6087c7a594cb591db1e63c97,tempMessage,2021-06-24,2021-06-24 12:35:54.344,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,33
1541,47923,60d47c76dadd8735a774957b,2240,5fed84211108a407a01e19fc,place,2021-06-24,2021-06-24 12:37:10.483,0,,,"{'orgaId': '949', 'orgaName': 'Les Restos du Coeur', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,949,Les Restos du Coeur,OWNER,PRO,67
1542,47924,60d47c97dadd8735a774957c,6583,60bf2464dcc0491fd973ccad,place,2021-06-24,2021-06-24 12:37:43.871,0,,,"{'orgaId': None, 'orgaName': None, 'role': None, 'status': 'ADMIN_SOLIGUIDE', 'territory': '00'}",False,True,True,,,,ADMIN_SOLIGUIDE,94
1543,47940,60d47d7ddadd8735a7749592,2229,5fed84211108a407a01e19fc,tempMessage,2021-06-24,2021-06-24 12:41:33.225,0,,,"{'orgaId': '949', 'orgaName': 'Les Restos du Coeur', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,949,Les Restos du Coeur,OWNER,PRO,67
1544,47944,60d47d96dadd8735a7749599,2235,5fed84211108a407a01e19fc,tempMessage,2021-06-24,2021-06-24 12:41:58.092,0,,,"{'orgaId': '949', 'orgaName': 'Les Restos du Coeur', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,949,Les Restos du Coeur,OWNER,PRO,67
1545,47951,60d47dd7a88132563f8c05e2,5330,6087c7a594cb591db1e63c97,tempMessage,2021-06-24,2021-06-24 12:43:03.176,0,,,"{'orgaId': '239', 'orgaName': 'Association Solinum', 'role': 'OWNER', 'status': 'ADMIN_SOLIGUIDE', 'territory': '33'}",False,True,True,239,Association Solinum,OWNER,ADMIN_SOLIGUIDE,33
1546,47964,60d47e13a88132563f8c05f0,11003,5fed84211108a407a01e19fc,tempMessage,2021-06-24,2021-06-24 12:44:03.410,0,,,"{'orgaId': '949', 'orgaName': 'Les Restos du Coeur', 'role': 'OWNER', 'status': 'PRO', 'territory': '67'}",False,True,True,949,Les Restos du Coeur,OWNER,PRO,67
